"id","fhudcode","lat","lng"
"18507","DOH000000000000965","13.1646996","123.6227798"
"18508","DOH000000000000966","14.1676102","122.3805923"
"18509","DOH000000000000967","11.5508299","122.6396713"
"18510","DOH000000000000968","13.2833099","123.5004196"
"18511","DOH000000000000969","7.4790201","126.5415192"
"18512","DOH000000000000970","13.1403103","123.5174026"
"18513","DOH000000000000971","16.0302296","120.4887238"
"18514","DOH000000000000972","10.8183804","123.3892365"
"18515","DOH000000000000973","16.5267792","120.3309937"
"18516","DOH000000000000974","16.5591602","120.3384323"
"18517","DOH000000000000975","15.8365898","120.3530731"
"18518","DOH000000000000976","16.0371208","120.2599182"
"18519","DOH000000000000977","13.4426603","123.6699600"
"18520","DOH000000000000978","15.4889002","120.3324509"
"18521","DOH000000000000979","13.1355801","123.7297516"
"18522","DOH000000000000980","16.2364292","122.0031662"
"18523","DOH000000000000981","16.0237808","120.2815781"
"18524","DOH000000000000983","13.2583599","124.0157394"
"18525","DOH000000000000984","18.0399094","120.4828568"
"18526","DOH000000000000988","16.7506104","120.3776016"
"18527","DOH000000000000989","6.7709699","126.0971527"
"18528","DOH000000000000990","6.8691301","126.3255615"
"18529","DOH000000000000991","7.4941602","125.5979309"
"18530","DOH000000000000993","14.1172705","122.9490814"
"18531","DOH000000000000996","7.7024999","125.8538818"
"18532","DOH000000000000997","16.6688309","120.4183121"
"18533","DOH000000000000998","13.0388098","123.8232193"
"18534","DOH000000000000999","15.7692404","121.5578232"
"18535","DOH000000000001000","11.4551897","122.5785370"
"18536","DOH000000000001001","16.1154709","120.2862625"
"18537","DOH000000000001003","6.6883602","125.1668472"
"18538","DOH000000000001004","13.3228197","123.9223022"
"18539","DOH000000000001005","16.8472805","120.3905563"
"18540","DOH000000000001006","17.6082306","120.3845825"
"18541","DOH000000000001007","7.0088401","126.2371902"
"18542","DOH000000000001008","16.9521809","120.5999832"
"18543","DOH000000000001009","13.0863800","123.5825119"
"18544","DOH000000000001010","5.6230798","125.4119492"
"18545","DOH000000000001011","13.9913902","122.9465637"
"18546","DOH000000000001012","7.0319300","126.4232864"
"18547","DOH000000000001013","17.5899200","120.4204788"
"18548","DOH000000000001014","16.1183205","120.1132278"
"18549","DOH000000000001015","16.8109398","120.3582993"
"18550","DOH000000000001016","16.6191597","120.3306274"
"18551","DOH000000000001022","6.5459599","125.4368134"
"18552","DOH000000000001023","16.8982391","120.4316711"
"18553","DOH000000000001025","11.4242296","122.7637787"
"18554","DOH000000000001026","7.3123398","125.6122131"
"18555","DOH000000000001027","6.9434199","126.0166702"
"18556","DOH000000000001028","7.2931800","125.6763535"
"18557","DOH000000000001029","13.0549002","123.3095474"
"18558","DOH000000000001030","14.1154003","122.8682098"
"18559","DOH000000000001031","6.1169300","125.6894913"
"18560","DOH000000000001032","16.8224201","120.4406662"
"18561","DOH000000000001035","6.9647999","125.9892197"
"18562","DOH000000000001036","16.5095005","120.3332367"
"18563","DOH000000000001037","16.0688095","120.0133972"
"18564","DOH000000000001039","7.5835400","125.7456436"
"18565","DOH000000000001040","7.6651402","126.4763031"
"18566","DOH000000000001041","7.1928601","125.7032928"
"18567","DOH000000000001043","7.5899200","125.7601471"
"18568","DOH000000000001044","16.8062592","120.5420914"
"18569","DOH000000000001045","16.0352097","120.3702164"
"18570","DOH000000000001046","7.2385101","126.4404602"
"18571","DOH000000000001047","7.5933700","125.7056503"
"18572","DOH000000000001049","11.3092098","122.7884598"
"18573","DOH000000000001051","7.8687701","126.3515472"
"18574","DOH000000000001052","16.5680904","120.3767624"
"18575","DOH000000000001053","6.6111398","125.2931595"
"18576","DOH000000000001056","11.5106096","123.0492325"
"18577","DOH000000000001058","16.2500992","120.4886169"
"18578","DOH000000000001060","11.4636097","122.9155502"
"18579","DOH000000000001062","14.1049995","122.9659119"
"18580","DOH000000000001063","13.3481398","123.7247391"
"18581","DOH000000000001064","6.9301400","126.0489731"
"18582","DOH000000000001066","17.4449291","120.5131989"
"18583","DOH000000000001067","6.9125500","125.7106323"
"18584","DOH000000000001068","6.7596402","125.3790207"
"18585","DOH000000000001070","11.6063995","122.7789764"
"18586","DOH000000000001071","11.4511099","122.8117371"
"18587","DOH000000000001073","6.7566099","125.3144226"
"18588","DOH000000000001074","13.1307602","123.6588593"
"18589","DOH000000000001075","14.0742598","122.9135208"
"18590","DOH000000000001076","7.7819901","125.6697083"
"18591","DOH000000000001077","7.6590900","125.6221313"
"18592","DOH000000000001079","6.7550101","125.1865005"
"18593","DOH000000000001080","7.4204898","125.5488586"
